Coluna1,inlet_pressure,outlet_pressure,gasliftrate,Pipesim,Chen,HB,BB,flowrate por Chen,flowrate por Chen,flowrate por Chen,flowrate por H&B
124,194.8049,8.053266,3999.991,8783.425,9781.89696,9337.744494,6982.263706,9781.896960000002,9781.896960000002,9781.896960000002,9054.7216087465
41,194.0605,9.996718,3999.991,6902.494689,8695.01952,8492.425565,6445.88969,8695.019520000002,8695.019520000002,8695.019520000002,8209.40267979152
43,194.8288,8.063349,4100.043,8606.913291,9781.89696,9342.092004,6984.9809,9781.896960000002,9781.896960000002,9781.896960000002,9059.069118506475
16,195.9323,10.05214,4399.966,7843.259736,9238.45824,9063.688348,6810.10232,9238.458240000002,9238.458240000002,9238.458240000002,8780.611118380128
26,195.638,7.015547,3999.991,10010.89108,10325.33568,9926.125596,7346.53068,10325.335680000004,10325.335680000004,10325.335680000004,9643.048367015006
33,196.8044,10.97322,3900.056,8783.425,9238.45824,9048.254688,6800.374767,9238.458240000002,9238.458240000002,9238.458240000002,8765.23180260422
101,195.7908,7.954545,4399.966,8885.260029,9781.89696,9678.860979,7194.313495,9781.896960000002,9781.896960000002,9781.896960000002,9395.783749416474
111,193.8818,6.972926,4199.978,8218.768721,9781.89696,9387.197418,7013.185369,9781.896960000002,9781.896960000002,9781.896960000002,9104.174532266206
14,194.0471,10.06152,3900.056,7001.313239,8695.01952,8467.862135,6430.021279,8695.019520000002,8695.019520000002,8695.019520000002,8184.784905775666
27,194.7843,7.003639,4199.978,8935.190036,9781.89696,9661.362252,7183.499064,9781.896960000002,9781.896960000002,9781.896960000002,9378.339366504579
36,194.1106,9.989976,4300.031,6533.317298,8695.01952,8510.304699,6457.41059,8695.019520000002,8695.019520000002,8695.019520000002,8227.281813679414
12,195.0766,10.93817,4199.978,6782.071423,8695.01952,8515.902118,6460.997286,8695.019520000002,8695.019520000002,8695.019520000002,8232.87923249538
145,194.1646,10.99419,3900.056,6135.262515,8695.01952,8211.467747,6263.946406,8695.019520000002,8695.019520000002,8695.019520000002,7928.444861553187
116,195.8562,9.036429,4399.966,8403.210608,9781.89696,9359.15598,6995.686643,9781.896960000002,9781.896960000002,9781.896960000002,9076.133094314373
91,195.9556,11.03703,4100.043,7671.252669,9238.45824,8761.2647,6618.214108,9238.458240000002,9238.458240000002,9238.458240000002,8478.241814573923
59,195.0563,11.04704,3999.991,6931.289266,8695.01952,8475.307245,6434.80354,8695.019520000002,8695.019520000002,8695.019520000002,8192.230016239622
146,194.0812,9.997691,4100.043,6749.725833,8695.01952,8498.620767,6449.856792,8695.019520000002,8695.019520000002,8695.019520000002,8215.597881199483
127,195.7058,9.022719,3699.95,9511.633671,9781.89696,9316.169977,6968.786426,9781.896960000002,9781.896960000002,9781.896960000002,9033.147091562629
150,194.0617,9.024349,4399.966,6893.392551,9238.45824,8798.59894,6642.016724,9238.458240000002,9238.458240000002,9238.458240000002,8515.576054637702
131,194.8049,6.946801,4300.031,8783.425,9781.89696,9685.708307,7198.552317,9781.896960000002,9781.896960000002,9781.896960000002,9402.685421160433
75,196.8272,11.02187,3999.991,8615.518538,9238.45824,9040.157451,6795.266443,9238.458240000002,9238.458240000002,9238.458240000002,8757.080221804268
110,195.8678,10.02666,4100.043,8318.337627,9238.45824,9051.406633,6802.331146,9238.458240000002,9238.458240000002,9238.458240000002,8768.383747180202
2,195.9374,11.03297,3999.991,7805.086971,9238.45824,8756.808502,6615.388226,9238.458240000002,9238.458240000002,9238.458240000002,8473.785617069949
153,194.7375,7.032672,3999.991,9279.879238,9781.89696,9637.505292,7168.771875,9781.896960000002,9781.896960000002,9781.896960000002,9354.48240669672
108,194.7608,7.014943,4100.043,9108.148222,9781.89696,9650.439134,7176.760424,9781.896960000002,9781.896960000002,9781.896960000002,9367.361904360643
135,196.6744,9.050491,3999.991,9740.544784,9781.89696,9612.07236,7153.012152,9781.896960000002,9781.896960000002,9781.896960000002,9329.04947460087
34,194.9332,10.03755,3900.056,7838.310903,9238.45824,8754.036965,6613.594879,9238.458240000002,9238.458240000002,9238.458240000002,8471.014079597966
38,195.0331,9.996229,4399.966,7102.254869,9238.45824,8798.490252,6641.908036,9238.458240000002,9238.458240000002,9238.458240000002,8515.413023021703
84,193.9415,7.993079,4199.978,7779.04537,9238.45824,9085.154177,6823.633944,9238.458240000002,9238.458240000002,9238.458240000002,8802.076947820002
62,194.9131,10.03631,3800.003,7986.246366,9238.45824,8748.113483,6609.845151,9238.458240000002,9238.458240000002,9238.458240000002,8465.09059755
117,194.9164,9.057733,4199.978,7962.154686,9238.45824,9056.895364,6805.809154,9238.458240000002,9238.458240000002,9238.458240000002,8773.87247825217
123,194.7143,7.056006,3900.056,9450.842332,9781.89696,9622.886791,7159.696448,9781.896960000002,9781.896960000002,9781.896960000002,9339.863905128806
55,194.8947,10.02433,3699.95,8121.696818,9238.45824,8746.10276,6608.540898,9238.458240000002,9238.458240000002,9238.458240000002,8463.079874286013
24,194.9335,8.996918,4300.031,7835.841506,9238.45824,9081.40445,6821.297157,9238.458240000002,9238.458240000002,9238.458240000002,8798.381564524023
18,196.7931,10.94692,3800.003,8866.134749,9238.45824,9052.982605,6803.36368,9238.458240000002,9238.458240000002,9238.458240000002,8769.95971946819
7,194.8534,9.004313,3900.056,8425.771463,9238.45824,9053.906451,6803.907118,9238.458240000002,9238.458240000002,9238.458240000002,8770.883565292184
109,194.1048,10.03077,4199.978,6576.330985,8695.01952,8495.686197,6447.954757,8695.019520000002,8695.019520000002,8695.019520000002,8212.6089682395
51,194.8343,9.044301,3800.003,8566.848325,9238.45824,9035.320846,6792.168842,9238.458240000002,9238.458240000002,9238.458240000002,8752.297961068296
9,196.8857,11.00723,4300.031,8183.956244,9238.45824,9063.144909,6809.776256,9238.458240000002,9238.458240000002,9238.458240000002,8780.12202353213
39,196.5223,7.052699,3900.056,10860.81292,10325.33568,10192.51926,7509.127545,10325.335680000004,10325.335680000004,10325.335680000004,9909.496371429424
143,195.0127,9.997427,4300.031,7252.448927,9238.45824,8791.697268,6637.61487,9238.458240000002,9238.458240000002,9238.458240000002,8508.620039021744
53,196.6497,8.008095,4199.978,9922.394306,10325.33568,9932.103422,7350.226063,10325.335680000004,10325.335680000004,10325.335680000004,9649.08053680697
19,195.9269,11.06831,3900.056,7883.026065,9238.45824,8742.407376,6606.149768,9238.458240000002,9238.458240000002,9238.458240000002,8459.384490990034
66,196.6251,9.002753,3800.003,10103.68169,9781.89696,9611.583265,7152.686089,9781.896960000002,9781.896960000002,9781.896960000002,9328.560379752873
96,196.673,8.005391,4300.031,9751.135085,10325.33568,9940.309347,7355.2257,10325.335680000004,10325.335680000004,10325.335680000004,9657.286461478921
49,194.1809,10.98922,3699.95,6015.489222,8695.01952,8218.152043,6268.34826,8695.019520000002,8695.019520000002,8695.019520000002,7935.129157809148
157,193.8819,8.018206,3900.056,8218.241716,9238.45824,9058.52568,6806.841687,9238.458240000002,9238.458240000002,9238.458240000002,8775.448450540158
65,196.7264,10.00539,3900.056,9357.901148,9781.89696,9328.125629,6976.231536,9781.896960000002,9781.896960000002,9781.896960000002,9045.048399530559
136,196.5396,6.994228,3999.991,10734.08567,10325.33568,10216.37622,7523.637359,10325.335680000004,10325.335680000004,10325.335680000004,9933.298987365282
42,194.8706,9.033776,3999.991,8299.214856,9238.45824,9050.048036,6801.515988,9238.458240000002,9238.458240000002,9238.458240000002,8767.025150380208
83,194.1613,10.95673,3999.991,6160.099532,8695.01952,8222.227834,6270.956766,8695.019520000002,8695.019520000002,8695.019520000002,7939.204948209124
128,193.8609,7.021595,4100.043,8372.430977,9781.89696,9365.296837,6999.490714,9781.896960000002,9781.896960000002,9781.896960000002,9082.273951850337
139,196.7058,10.01784,3800.003,9509.455382,9781.89696,9317.745949,6969.764616,9781.896960000002,9781.896960000002,9781.896960000002,9034.66871997862
35,196.681,9.979832,3699.95,9692.087883,9781.89696,9321.876083,6972.373121,9781.896960000002,9781.896960000002,9781.896960000002,9038.853198122595
126,196.6481,9.002534,3900.056,9934.274515,9781.89696,9618.865344,7157.19663,9781.896960000002,9781.896960000002,9781.896960000002,9335.842458600831
93,194.8934,9.043621,4100.043,8131.112649,9238.45824,9054.123826,6804.07015,9238.458240000002,9238.458240000002,9238.458240000002,8771.100940780185
86,196.5647,6.995749,4100.043,10548.74285,10325.33568,10223.76698,7528.093557,10325.335680000004,10325.335680000004,10325.335680000004,9940.744097829238
32,195.034,10.993,3699.95,7095.416345,8695.01952,8485.252174,6441.27046,8695.019520000002,8695.019520000002,8695.019520000002,8202.229288687562
130,194.9763,10.05466,4100.043,7520.584306,9238.45824,8762.24289,6618.81189,9238.458240000002,9238.458240000002,9238.458240000002,8479.165660397917
102,194.0376,8.989198,4300.031,7070.888004,9238.45824,8802.076948,6644.244822,9238.458240000002,9238.458240000002,9238.458240000002,8519.05406244568
21,196.4971,7.058025,3800.003,11046.67522,10325.33568,10182.90039,7503.312751,10325.335680000004,10325.335680000004,10325.335680000004,9899.87750608548
99,196.5895,6.996976,4199.978,10365.81924,10325.33568,10231.15775,7532.604098,10325.335680000004,10325.335680000004,10325.335680000004,9948.134864421194
112,193.8576,8.007971,3800.003,8396.680759,9238.45824,9054.069482,6804.015806,9238.458240000002,9238.458240000002,9238.458240000002,8771.046596908185
11,193.7619,7.009866,3699.95,9101.608335,9781.89696,9337.853182,6982.372394,9781.896960000002,9781.896960000002,9781.896960000002,9054.8302964905
56,194.2255,10.99593,4399.966,5687.006694,8695.01952,8230.107695,6276.06509,8695.019520000002,8695.019520000002,8695.019520000002,7947.030465777078
40,196.9059,11.01161,4399.966,8035.137419,9238.45824,9068.144545,6812.928201,9238.458240000002,9238.458240000002,9238.458240000002,8785.0673158841
29,193.9334,9.048495,3800.003,7838.55182,9238.45824,8750.667645,6611.421124,9238.458240000002,9238.458240000002,9238.458240000002,8467.644759533987
3,195.0692,11.03863,4100.043,6836.646607,8695.01952,8481.991542,6439.151049,8695.019520000002,8695.019520000002,8695.019520000002,8198.96865636758
